,Year,Month,Manufacturer,Model,Quantity
186,2007,10,Ford ,Ford Mondeo,331
187,2007,10,Volkswagen ,Volkswagen Polo,276
188,2007,10,Toyota ,Toyota Rav4,264
189,2007,10,Honda ,Honda CR-V,262
190,2007,10,Peugeot ,Peugeot 307,258
191,2007,10,Skoda ,Skoda Octavia,256
192,2007,10,Toyota ,Toyota Yaris,247
193,2007,10,Mitsubishi ,Mitsubishi Outlander,236
194,2007,10,Peugeot ,Peugeot 207,233
195,2007,10,Ford ,Ford Focus,227
196,2007,10,Audi ,Audi A3,191
197,2007,10,Audi ,Audi A4,183
198,2007,10,Opel ,Opel Astra,164
199,2007,10,Toyota ,Toyota Corolla,85
200,2007,11,Volkswagen ,Volkswagen Golf,530
201,2007,11,Volkswagen ,Volkswagen Passat,527
202,2007,11,Toyota ,Toyota Avensis,502
203,2007,11,Volvo ,Volvo V70,409
204,2007,11,Toyota ,Toyota Auris,359
205,2007,11,Nissan ,Nissan Qashqai,333
206,2007,11,Honda ,Honda CR-V,314
207,2007,11,Skoda ,Skoda Octavia,258
208,2007,11,Toyota ,Toyota Rav4,253
209,2007,11,Ford ,Ford Mondeo,248
210,2007,11,Toyota ,Toyota Yaris,212
211,2007,11,Volkswagen ,Volkswagen Touran,207
212,2007,11,Peugeot ,Peugeot 207,187
213,2007,11,Ford ,Ford Focus,159
214,2007,11,Opel ,Opel Astra,154
215,2007,11,Peugeot ,Peugeot 307,140
216,2007,11,Toyota ,Toyota Corolla,121
217,2007,11,Mitsubishi ,Mitsubishi Outlander,118
218,2007,11,Audi ,Audi A4,118
219,2007,11,Volkswagen ,Volkswagen Polo,104
220,2007,12,Ford ,Ford Mondeo,457
221,2007,12,Volkswagen ,Volkswagen Golf,390
222,2007,12,Volvo ,Volvo V70,384
223,2007,12,Volkswagen ,Volkswagen Passat,381
224,2007,12,Honda ,Honda CR-V,335
225,2007,12,Skoda ,Skoda Octavia,308
226,2007,12,Toyota ,Toyota Avensis,268
227,2007,12,Toyota ,Toyota Auris,268
228,2007,12,Saab ,Saab 9-3,259
229,2007,12,Mitsubishi ,Mitsubishi Outlander,226
230,2007,12,Toyota ,Toyota Rav4,225
231,2007,12,Ford ,Ford Focus,157
232,2007,12,Audi ,Audi A4,139
233,2007,12,Volkswagen ,Volkswagen Touran,135
234,2007,12,Opel ,Opel Astra,130
235,2007,12,Toyota ,Toyota Yaris,115
236,2007,12,Volkswagen ,Volkswagen Polo,108
237,2007,12,Toyota ,Toyota Corolla,90
238,2007,12,Peugeot ,Peugeot 207,65
239,2007,12,Peugeot ,Peugeot 307,47
240,2008,1,Ford ,Ford Mondeo,588
241,2008,1,Volkswagen ,Volkswagen Golf,425
242,2008,1,Honda ,Honda CR-V,397
243,2008,1,Volkswagen ,Volkswagen Passat,365
244,2008,1,Toyota ,Toyota Rav4,331
245,2008,1,Toyota ,Toyota Avensis,322
246,2008,1,Toyota ,Toyota Auris,321
247,2008,1,Volvo ,Volvo V70,315
248,2008,1,Nissan ,Nissan Qashqai,280
249,2008,1,Mitsubishi ,Mitsubishi Outlander,232
250,2008,1,Toyota ,Toyota Corolla,229
251,2008,1,Toyota ,Toyota Prius,217
252,2008,1,Skoda ,Skoda Octavia,216
253,2008,1,Peugeot ,Peugeot 207,202
254,2008,1,Toyota ,Toyota Yaris,198
255,2008,1,Ford ,Ford Focus,173
256,2008,1,BMW ,BMW 3-serie,158
257,2008,1,Audi ,Audi A4,157
258,2008,1,Nissan ,Nissan X-Trail,144
259,2008,1,Peugeot ,Peugeot 308,135
260,2008,2,Ford ,Ford Mondeo,624
261,2008,2,Volkswagen ,Volkswagen Passat,551
262,2008,2,Volkswagen ,Volkswagen Golf,488
263,2008,2,Volvo ,Volvo V70,392
264,2008,2,Toyota ,Toyota Auris,342
265,2008,2,Volkswagen ,Volkswagen Tiguan,340
266,2008,2,Toyota ,Toyota Avensis,315
267,2008,2,Nissan ,Nissan Qashqai,272
268,2008,2,Nissan ,Nissan X-Trail,271
269,2008,2,Mitsubishi ,Mitsubishi Outlander,257
270,2008,2,Toyota ,Toyota Rav4,250
271,2008,2,Ford ,Ford Focus,235
272,2008,2,Skoda ,Skoda Octavia,225
273,2008,2,Toyota ,Toyota Yaris,222
274,2008,2,Honda ,Honda CR-V,219
275,2008,2,Audi ,Audi A4,200
276,2008,2,BMW ,BMW 3-serie,184
277,2008,2,Toyota ,Toyota Prius,165
278,2008,2,Peugeot ,Peugeot 207,144
279,2008,2,Toyota ,Toyota Corolla,142
280,2008,3,Volkswagen ,Volkswagen Golf,453
281,2008,3,Mitsubishi ,Mitsubishi Outlander,430
282,2008,3,Volkswagen ,Volkswagen Passat,396
283,2008,3,Ford ,Ford Mondeo,351
284,2008,3,Toyota ,Toyota Auris,292
285,2008,3,Toyota ,Toyota Avensis,286
286,2008,3,Volvo ,Volvo V70,281
287,2008,3,Volkswagen ,Volkswagen Tiguan,267
288,2008,3,Nissan ,Nissan Qashqai,252
289,2008,3,Ford ,Ford Focus,246
290,2008,3,Toyota ,Toyota Yaris,239
291,2008,3,Audi ,Audi A4,235
292,2008,3,Skoda ,Skoda Octavia,208
293,2008,3,Skoda ,Skoda Fabia,207
294,2008,3,Toyota ,Toyota Rav4,200
295,2008,3,Honda ,Honda CR-V,151
296,2008,3,Nissan ,Nissan X-Trail,150
297,2008,3,Toyota ,Toyota Corolla,140
298,2008,3,Peugeot ,Peugeot 207,130
299,2008,3,Toyota ,Toyota Prius,95
300,2008,4,Volkswagen ,Volkswagen Golf,598
301,2008,4,Volkswagen ,Volkswagen Passat,478
302,2008,4,Mitsubishi ,Mitsubishi Outlander,474
303,2008,4,Volvo ,Volvo V70,405
304,2008,4,Toyota ,Toyota Auris,371
305,2008,4,Ford ,Ford Mondeo,354
306,2008,4,Toyota ,Toyota Avensis,347
307,2008,4,Ford ,Ford Focus,342
308,2008,4,Audi ,Audi A4,282
309,2008,4,Skoda ,Skoda Octavia,268
310,2008,4,Toyota ,Toyota Yaris,254
311,2008,4,Honda ,Honda CR-V,248
312,2008,4,Nissan ,Nissan Qashqai,223
313,2008,4,Audi ,Audi A3,222
314,2008,4,Volkswagen ,Volkswagen Tiguan,221
315,2008,4,Peugeot ,Peugeot 308,213
316,2008,4,BMW ,BMW 3-serie,208
317,2008,4,Toyota ,Toyota Rav4,190
318,2008,4,Toyota ,Toyota Corolla,184
319,2008,4,Nissan ,Nissan X-Trail,162
320,2008,5,Volvo ,Volvo V70,447
321,2008,5,Volkswagen ,Volkswagen Golf,416
322,2008,5,Ford ,Ford Focus,416
323,2008,5,Volkswagen ,Volkswagen Passat,372
324,2008,5,Toyota ,Toyota Auris,324
325,2008,5,Nissan ,Nissan Qashqai,310
326,2008,5,Toyota ,Toyota Avensis,304
327,2008,5,Ford ,Ford Mondeo,303
328,2008,5,Audi ,Audi A4,289
329,2008,5,Skoda ,Skoda Octavia,268
330,2008,5,Volkswagen ,Volkswagen Tiguan,218
331,2008,5,Peugeot ,Peugeot 207,207
332,2008,5,Mitsubishi ,Mitsubishi Outlander,205
333,2008,5,Honda ,Honda CR-V,191
334,2008,5,Toyota ,Toyota Yaris,191
335,2008,5,Audi ,Audi A3,178
336,2008,5,BMW ,BMW 3-serie,174
337,2008,5,Toyota ,Toyota Rav4,172
338,2008,5,Peugeot ,Peugeot 308,172
339,2008,5,Nissan ,Nissan X-Trail,118
340,2008,6,Ford ,Ford Mondeo,455
341,2008,6,Volkswagen ,Volkswagen Golf,358
342,2008,6,Audi ,Audi A4,331
343,2008,6,Nissan ,Nissan Qashqai,322
344,2008,6,Toyota ,Toyota Auris,316
345,2008,6,Volvo ,Volvo V70,311
346,2008,6,Volkswagen ,Volkswagen Passat,300
347,2008,6,Toyota ,Toyota Avensis,278
348,2008,6,Ford ,Ford Focus,237
349,2008,6,Audi ,Audi A3,224
350,2008,6,Skoda ,Skoda Octavia,220
351,2008,6,BMW ,BMW 3-serie,207
352,2008,6,Mazda ,Mazda 6,189
353,2008,6,Volkswagen ,Volkswagen Tiguan,182
354,2008,6,Mitsubishi ,Mitsubishi Outlander,180
355,2008,6,Toyota ,Toyota Yaris,144
356,2008,6,Peugeot ,Peugeot 207,138
357,2008,6,Honda ,Honda CR-V,136
358,2008,6,Nissan ,Nissan X-Trail,125
359,2008,6,Toyota ,Toyota Rav4,123
360,2008,7,Ford ,Ford Mondeo,548
361,2008,7,Volkswagen ,Volkswagen Golf,437
362,2008,7,Audi ,Audi A4,384
363,2008,7,Toyota ,Toyota Avensis,346
364,2008,7,Toyota ,Toyota Auris,303
365,2008,7,Nissan ,Nissan Qashqai,268
366,2008,7,Volvo ,Volvo V70,267
367,2008,7,Mazda ,Mazda 6,228
368,2008,7,Peugeot ,Peugeot 308,220
369,2008,7,Ford ,Ford Focus,210
370,2008,7,Volkswagen ,Volkswagen Passat,205
371,2008,7,Volkswagen ,Volkswagen Tiguan,199
372,2008,7,Mitsubishi ,Mitsubishi Outlander,194
373,2008,7,Peugeot ,Peugeot 207,185
374,2008,7,Toyota ,Toyota Rav4,181
375,2008,7,Skoda ,Skoda Octavia,167
376,2008,7,Toyota ,Toyota Yaris,164
377,2008,7,Honda ,Honda CR-V,145
378,2008,7,BMW ,BMW 3-serie,140
379,2008,7,Audi ,Audi A3,120
380,2008,8,Volkswagen ,Volkswagen Golf,418
381,2008,8,Audi ,Audi A4,363
382,2008,8,Volkswagen ,Volkswagen Tiguan,354
383,2008,8,Ford ,Ford Mondeo,253
384,2008,8,Toyota ,Toyota Auris,251
385,2008,8,Volkswagen ,Volkswagen Passat,245
386,2008,8,Toyota ,Toyota Avensis,221
387,2008,8,Ford ,Ford Focus,213
388,2008,8,Mazda ,Mazda 6,195
389,2008,8,Nissan ,Nissan Qashqai,193
390,2008,8,Peugeot ,Peugeot 308,186
391,2008,8,Peugeot ,Peugeot 207,164
392,2008,8,Toyota ,Toyota Yaris,141
393,2008,8,Skoda ,Skoda Octavia,139
394,2008,8,Mitsubishi ,Mitsubishi Outlander,135
395,2008,8,Audi ,Audi A3,128
396,2008,8,Honda ,Honda CR-V,121
397,2008,8,Volvo ,Volvo V70,120
398,2008,8,Toyota ,Toyota Rav4,98
399,2008,8,BMW ,BMW 3-serie,86
400,2008,9,Volkswagen ,Volkswagen Golf,401
401,2008,9,Ford ,Ford Mondeo,327
402,2008,9,Volkswagen ,Volkswagen Passat,326
403,2008,9,Audi ,Audi A4,299
404,2008,9,Toyota ,Toyota Auris,293
405,2008,9,Toyota ,Toyota Avensis,255
406,2008,9,Ford ,Ford Focus,251
407,2008,9,Volvo ,Volvo V70,233
408,2008,9,Volkswagen ,Volkswagen Tiguan,225
409,2008,9,BMW ,BMW 3-serie,219
410,2008,9,Toyota ,Toyota Rav4,216
411,2008,9,Nissan ,Nissan Qashqai,209
412,2008,9,Mazda ,Mazda 6,202
413,2008,9,Mitsubishi ,Mitsubishi Outlander,182
414,2008,9,Toyota ,Toyota Yaris,176
415,2008,9,Skoda ,Skoda Octavia,152
416,2008,9,Peugeot ,Peugeot 308,143
417,2008,9,Audi ,Audi A3,136
418,2008,9,Honda ,Honda CR-V,122
419,2008,9,Peugeot ,Peugeot 207,100
420,2008,10,Volkswagen ,Volkswagen Golf,459
421,2008,10,Audi ,Audi A4,337
422,2008,10,Volkswagen ,Volkswagen Passat,334
423,2008,10,Toyota ,Toyota Auris,332
424,2008,10,Ford ,Ford Mondeo,322
425,2008,10,Volkswagen ,Volkswagen Tiguan,264
426,2008,10,Nissan ,Nissan Qashqai,246
427,2008,10,Toyota ,Toyota Avensis,229
428,2008,10,Toyota ,Toyota Rav4,224
429,2008,10,Peugeot ,Peugeot 308,215
430,2008,10,BMW ,BMW 3-serie,196
431,2008,10,Toyota ,Toyota Yaris,194
432,2008,10,Ford ,Ford Focus,192
433,2008,10,Volvo ,Volvo V70,185
434,2008,10,Mazda ,Mazda 6,153
435,2008,10,Mitsubishi ,Mitsubishi Outlander,125
436,2008,10,Audi ,Audi A3,120
437,2008,10,Skoda ,Skoda Octavia,117
438,2008,10,Peugeot ,Peugeot 207,113
439,2008,10,Honda ,Honda CR-V,91
440,2008,11,Volkswagen ,Volkswagen Passat,342
441,2008,11,Volkswagen ,Volkswagen Golf,307
442,2008,11,Volkswagen ,Volkswagen Tiguan,293
443,2008,11,Ford ,Ford Mondeo,271
444,2008,11,Audi ,Audi A4,248
445,2008,11,Toyota ,Toyota Auris,209
446,2008,11,Nissan ,Nissan Qashqai,204
447,2008,11,Ford ,Ford Focus,174
448,2008,11,Toyota ,Toyota Avensis,166
449,2008,11,Toyota ,Toyota Yaris,158
450,2008,11,Peugeot ,Peugeot 308,145
451,2008,11,Volvo ,Volvo V70,139
452,2008,11,BMW ,BMW 3-serie,124
453,2008,11,Skoda ,Skoda Octavia,117
454,2008,11,Peugeot ,Peugeot 207,115
455,2008,11,Mitsubishi ,Mitsubishi Outlander,110
456,2008,11,Mazda ,Mazda 6,109
457,2008,11,Honda ,Honda CR-V,102
458,2008,11,Audi ,Audi A3,93
459,2008,11,Toyota ,Toyota Rav4,77
460,2008,12,Toyota ,Toyota Avensis,450
461,2008,12,Ford ,Ford Mondeo,349
462,2008,12,Volkswagen ,Volkswagen Passat,348
463,2008,12,Volkswagen ,Volkswagen Golf,319
464,2008,12,Volkswagen ,Volkswagen Tiguan,312
465,2008,12,Audi ,Audi A4,311
466,2008,12,Volvo ,Volvo V70,201
467,2008,12,Nissan ,Nissan Qashqai,200
468,2008,12,Honda ,Honda CR-V,198
469,2008,12,BMW ,BMW 3-serie,189
470,2008,12,Ford ,Ford Focus,188
471,2008,12,Skoda ,Skoda Octavia,181
472,2008,12,Toyota ,Toyota Auris,158
473,2008,12,Mitsubishi ,Mitsubishi Outlander,149
474,2008,12,Volvo ,Volvo V50,142
475,2008,12,Toyota ,Toyota Rav4,104
476,2008,12,Mazda ,Mazda 6,87
477,2008,12,Audi ,Audi A3,77
478,2008,12,Peugeot ,Peugeot 308,73
479,2008,12,Toyota ,Toyota Yaris,53
480,2009,1,Toyota ,Toyota Avensis,400
481,2009,1,Volkswagen ,Volkswagen Golf,318
482,2009,1,Ford ,Ford Focus,177
483,2009,1,Volkswagen ,Volkswagen Passat,161
484,2009,1,Ford ,Ford Mondeo,154
485,2009,1,Volvo ,Volvo XC60,136
486,2009,1,Toyota ,Toyota Prius,135
487,2009,1,Nissan ,Nissan Qashqai,130
488,2009,1,Peugeot ,Peugeot 308,126
489,2009,1,Volvo ,Volvo V50,126
490,2009,1,Toyota ,Toyota Auris,125
491,2009,1,Opel ,Opel Insignia,117
492,2009,1,Mazda ,Mazda 6,97
493,2009,1,Skoda ,Skoda Octavia,92
494,2009,1,Ford ,Ford Fiesta,91
495,2009,1,Audi ,Audi A4,89
496,2009,1,Toyota ,Toyota Yaris,88
497,2009,1,Peugeot ,Peugeot 207,83
498,2009,1,Subaru ,Subaru Impreza,83
499,2009,1,Volkswagen ,Volkswagen Tiguan,80
500,2009,2,Volkswagen ,Volkswagen Golf,339
501,2009,2,Volkswagen ,Volkswagen Passat,245
502,2009,2,Toyota ,Toyota Avensis,222
503,2009,2,Skoda ,Skoda Octavia,197
504,2009,2,Toyota ,Toyota Yaris,177
505,2009,2,Ford ,Ford Mondeo,173
506,2009,2,Toyota ,Toyota Auris,169
507,2009,2,Volkswagen ,Volkswagen Tiguan,143
508,2009,2,Ford ,Ford Focus,142
509,2009,2,Nissan ,Nissan Qashqai,142
510,2009,2,Audi ,Audi A4,138
511,2009,2,BMW ,BMW 3-serie,135
512,2009,2,Honda ,Honda CR-V,131
513,2009,2,Mazda ,Mazda 6,127
514,2009,2,Volvo ,Volvo XC60,103
515,2009,2,Peugeot ,Peugeot 207,103
516,2009,2,Peugeot ,Peugeot 308,101
517,2009,2,Volvo ,Volvo V50,96
518,2009,2,Opel ,Opel Insignia,86
519,2009,2,Toyota ,Toyota Prius,73
520,2009,3,Volkswagen ,Volkswagen Golf,344
521,2009,3,Ford ,Ford Mondeo,301
522,2009,3,Toyota ,Toyota Avensis,281
523,2009,3,Mazda ,Mazda 6,248
524,2009,3,Skoda ,Skoda Octavia,236
525,2009,3,Toyota ,Toyota Auris,225
526,2009,3,Honda ,Honda CR-V,214
527,2009,3,Nissan ,Nissan Qashqai,182
528,2009,3,Volkswagen ,Volkswagen Passat,175
529,2009,3,Volkswagen ,Volkswagen Tiguan,172
530,2009,3,Peugeot ,Peugeot 308,170
531,2009,3,Audi ,Audi A4,160
532,2009,3,Opel ,Opel Insignia,156
533,2009,3,Mitsubishi ,Mitsubishi Outlander,150
534,2009,3,Hyundai ,Hyundai i20,141
535,2009,3,BMW ,BMW 3-serie,132
536,2009,3,Toyota ,Toyota Rav4,130
537,2009,3,Toyota ,Toyota Yaris,123
538,2009,3,Ford ,Ford Focus,115
539,2009,3,Peugeot ,Peugeot 207,108
540,2009,3,Volvo ,Volvo XC60,88
541,2009,4,Volkswagen ,Volkswagen Golf,441
542,2009,4,Toyota ,Toyota Avensis,389
543,2009,4,Skoda ,Skoda Octavia,286
544,2009,4,Peugeot ,Peugeot 308,274
545,2009,4,Volkswagen ,Volkswagen Tiguan,211
546,2009,4,Volkswagen ,Volkswagen Passat,202
547,2009,4,Ford ,Ford Mondeo,201
548,2009,4,Opel ,Opel Insignia,197
549,2009,4,Toyota ,Toyota Auris,196
550,2009,4,Nissan ,Nissan Qashqai,166
551,2009,4,Volvo ,Volvo V70,156
552,2009,4,Audi ,Audi A4,148
553,2009,4,BMW ,BMW 3-serie,133
554,2009,4,Ford ,Ford Focus,132
555,2009,4,Peugeot ,Peugeot 207,128
556,2009,4,Honda ,Honda CR-V,125
557,2009,4,Toyota ,Toyota Yaris,111
558,2009,4,Mazda ,Mazda 6,103
559,2009,4,Mitsubishi ,Mitsubishi Outlander,100
560,2009,4,Volvo ,Volvo XC60,87
561,2009,5,Volkswagen ,Volkswagen Golf,509
562,2009,5,Toyota ,Toyota Avensis,375
563,2009,5,Opel ,Opel Insignia,237
564,2009,5,Skoda ,Skoda Octavia,232
565,2009,5,Ford ,Ford Focus,217
566,2009,5,Ford ,Ford Mondeo,197
567,2009,5,Volkswagen ,Volkswagen Passat,193
568,2009,5,Volkswagen ,Volkswagen Tiguan,172
569,2009,5,BMW ,BMW 3-serie,168
570,2009,5,Nissan ,Nissan Qashqai,162
571,2009,5,Audi ,Audi A4,151
572,2009,5,Peugeot ,Peugeot 308,148
573,2009,5,Toyota ,Toyota Auris,129
574,2009,5,Toyota ,Toyota Yaris,126
575,2009,5,Toyota ,Toyota Corolla,126
576,2009,5,Honda ,Honda CR-V,123
577,2009,5,Volvo ,Volvo XC60,110
578,2009,5,Peugeot ,Peugeot 207,108
579,2009,5,Volvo ,Volvo V70,107
580,2009,5,Mazda ,Mazda 6,54
581,2009,6,Volkswagen ,Volkswagen Golf,412
582,2009,6,Ford ,Ford Mondeo,368
583,2009,6,Toyota ,Toyota Avensis,353
584,2009,6,Opel ,Opel Insignia,281
